Place;Date;Subscribed;Finished game;Subscribe check in;Came Check in;Subscribed piscine Juillet;Subscribed piscine august;Subscribed piscine october;Subscribed piscine january;Subscribed piscine april;Subscribed piscine july;Subscribed piscine august;Subscribed piscine october;Subscribed piscine january;Subscribed piscine march;Subscribed piscine may;Subscribed piscine june;Subscribed piscine july;Subscribed piscine august;Subscribed piscine october
Fremont;11/03/2016;137;81;24;37;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
Fremont;11/10/2016;431;126;29;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Fremont;11/17/2016;167;88;38;80;0;0;0;19;13;0;0;0;0;0;0;0;0;0;0
Fremont;11/24/2016;149;79;33;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0
Fremont;12/01/2016;210;97;32;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Fremont;12/08/2016;221;85;44;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0
Fremont;12/15/2016;123;73;31;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0
Fremont;12/22/2016;184;63;22;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0
Fremont;12/29/2016;111;72;38;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
Fremont;01/05/2017;173;103;35;189;0;0;0;15;52;0;0;0;0;0;0;0;0;0;0
Fremont;01/12/2017;150;71;39;61;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0
Fremont;01/19/2017;173;74;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;01/26/2017;183;91;32;75;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0
Fremont;02/02/2017;236;102;34;2;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
Fremont;02/09/2017;155;62;20;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
Fremont;02/16/2017;156;76;27;83;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0
Fremont;02/23/2017;245;98;23;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Fremont;03/02/2017;157;94;31;0;0;0;0;0;4;26;0;0;0;0;0;0;0;0;0
Fremont;03/09/2017;110;65;40;97;0;0;0;0;15;50;0;0;0;0;0;0;0;0;0
Fremont;03/16/2017;149;78;37;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0
Fremont;03/23/2017;124;73;33;53;0;0;0;0;4;34;0;0;0;0;0;0;0;0;0
Fremont;03/30/2017;232;91;37;1;0;0;0;0;3;11;0;0;0;0;0;0;0;0;0
Fremont;04/06/2017;145;74;32;90;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0
Fremont;04/13/2017;125;72;27;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
Fremont;04/20/2017;120;57;38;60;0;0;0;0;0;31;10;0;0;0;0;0;0;0;0
Fremont;04/27/2017;106;41;23;1;0;0;0;0;0;5;5;1;0;0;0;0;0;0;0
Fremont;05/04/2017;159;60;22;43;0;0;0;0;0;10;10;3;2;0;0;0;0;0;0
Fremont;05/11/2017;204;66;32;1;0;0;0;0;0;1;6;1;2;0;0;0;0;0;0
Fremont;05/18/2017;182;73;23;0;0;0;0;0;0;3;2;1;2;0;0;0;0;0;0
Fremont;05/25/2017;281;114;30;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0
Fremont;06/01/2017;595;250;47;127;0;0;0;0;0;25;20;5;11;0;0;0;0;0;0
Fremont;06/08/2017;351;195;49;1;0;0;0;0;0;1;5;2;2;0;0;0;0;0;0
Fremont;06/15/2017;323;138;42;0;0;0;0;0;0;3;4;0;3;0;0;0;0;0;0
Fremont;06/22/2017;182;86;61;70;0;0;0;0;0;9;15;5;6;0;0;0;0;0;0
Fremont;06/29/2017;254;127;66;2;0;0;0;0;0;1;6;1;2;0;0;0;0;0;0
Fremont;07/06/2017;185;103;53;156;0;0;0;0;0;0;16;11;15;0;0;0;0;0;0
Fremont;07/13/2017;255;123;22;93;0;0;0;0;0;0;14;19;20;0;0;0;0;0;0
Fremont;07/20/2017;250;123;37;0;0;0;0;0;0;0;2;5;3;0;0;0;0;0;0
Fremont;07/27/2017;216;82;47;0;0;0;0;0;0;0;3;4;3;0;0;0;0;0;0
Fremont;08/03/2017;167;96;39;1;0;0;0;0;0;0;3;2;3;0;0;0;0;0;0
Fremont;08/10/2017;198;121;40;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Fremont;08/17/2017;162;83;65;574;0;0;0;0;0;0;0;44;34;0;0;0;0;0;0
Fremont;08/24/2017;383;188;68;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
Fremont;08/31/2017;216;101;41;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0
Fremont;09/07/2017;233;120;16;100;0;0;0;0;0;0;0;28;18;0;0;0;0;0;0
Fremont;09/14/2017;377;159;82;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Fremont;09/21/2017;290;142;7;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0
Fremont;09/28/2017;277;134;77;269;0;0;0;0;0;0;0;13;32;0;0;0;0;0;0
Fremont;10/05/2017;252;138;74;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0
Fremont;10/12/2017;324;153;64;138;0;0;0;0;0;0;0;23;27;0;0;0;0;0;0
Fremont;10/19/2017;275;120;50;1;0;0;0;0;0;0;0;1;2;5;2;2;1;4;4
Fremont;10/26/2017;178;121;61;0;0;0;0;0;0;0;0;0;5;3;3;1;1;1;1
Fremont;11/02/2017;202;125;73;463;0;0;0;0;0;0;0;0;55;19;10;14;13;4;8
Fremont;11/09/2017;58;27;17;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2
